MouseNo,Condition,Sex,Week,norm CI act/CI core,norm CI act/CI core + acc,norm CIII/CIII abund
EQ5-A1,Ctl,F,16,0.797439897,0.797439897,0.820626325
EQ5-G2,Ctl,F,16,0.757382785,0.757382785,0.644389393
EQ5-G3,Ctl,F,16,1.715351695,1.715351695,1.236764526
EQ5-K3,Ctl,F,16,0.851538689,0.851538689,0.703255909
EQ5-K4,Ctl,F,16,0.746244341,0.746244341,0.972204482
EQ5-L1,Ctl,F,16,0.880761318,0.880761318,0.72008525
EQ5-L2,Ctl,F,16,1.145922052,1.145922052,0.938716716
EQ5-L3,Ctl,F,16,1.181137691,1.181137691,1.007411192
EQ5-Q1,Ctl,F,16,1.080972675,1.080972675,1.865257875
EQ5-Q4,Ctl,F,16,0.843248857,0.843248857,1.091288333
EQ5-C1,Pers,F,16,0.59031221,0.55249162,0.530018662
EQ5-C2,Pers,F,16,0.705547018,0.660343473,0.611385471
EQ5-C3,Pers,F,16,0.544995506,0.510078302,0.674197118
EQ5-I1,Pers,F,16,0.639981052,0.598978239,0.525767228
EQ5-I2,Pers,F,16,0.614245352,0.574891394,0.615276155
EQ5-I3,Pers,F,16,0.44102528,0.412769324,0.856998616
EQ5-N1,Pers,F,16,0.848656023,0.794283657,0.736722321
EQ5-N4,Pers,F,16,1.188226242,1.112098022,0.719361412
EQ5-R3,Pers,F,16,1.126181341,1.054028263,0.646846458
EQ5-R4,Pers,F,16,0.805549303,0.753938732,0.516096751
EQ5-S1,Pers,F,16,0.499450574,0.467451379,0.590086084
EQ5-S2,Pers,F,16,1.083593226,1.014168717,0.627840527
EQ5-B1,Rapa,F,16,0.627203809,0.601694748,0.45455312
EQ5-B3,Rapa,F,16,0.774005977,0.742526312,0.584934612
EQ5-H1,Rapa,F,16,0.606856545,0.58217503,0.396605781
EQ5-M1,Rapa,F,16,0.801594873,0.768993138,0.726861165
EQ5-M2,Rapa,F,16,0.442708039,0.424702621,0.572099036
EQ5-O2,Rapa,F,16,,,0.520413118
EQ5-O3,Rapa,F,16,0.675278925,0.647814597,0.565806328
EQ5-O4,Rapa,F,16,0.561684079,0.538839777,0.499253507
EQ5-P2,Rapa,F,16,0.554553587,0.53199929,0.510343297
EQ5-T1,Rapa,F,16,0.592782219,0.568673122,0.531477611
EQ5-T2,Rapa,F,16,0.820279239,0.786917591,0.721428683
EQ6-F10,Young,F,Y,0.615883268,0.68495161,0.64010982
EQ6-F2,Young,F,Y,0.733624068,0.815896473,0.500062623
EQ6-F3,Young,F,Y,,,0.403122187
EQ6-F5,Young,F,Y,0.489287987,0.544159278,0.377670194
EQ6-F6,Young,F,Y,0.468074333,0.520566615,0.486360674
EQ6-F7,Young,F,Y,0.326829479,0.363481831,0.463948281
EQ6-F9,Young,F,Y,0.579708435,0.644719943,0.442868285
EQ4-D1,Ctl,M,16,0.568497386,0.568497386,1.259499361
EQ4-D2,Ctl,M,16,0.944647505,0.944647505,0.926952815
EQ4-D3,Ctl,M,16,0.937910097,0.937910097,1.246978189
EQ4-D4,Ctl,M,16,1.01478226,1.01478226,1.066402652
EQ4-K1,Ctl,M,16,0.893919477,0.893919477,0.784267504
EQ4-K2,Ctl,M,16,1.160993136,1.160993136,0.997865968
EQ4-N1,Ctl,M,16,1.097567506,1.097567506,1.028384852
EQ4-N2,Ctl,M,16,1.381682632,1.381682632,0.689648659
EQ4-C2,Pers,M,16,0.42923182,0.442377923,1.149434265
EQ4-C3,Pers,M,16,0.212583095,0.219093888,1.01994185
EQ4-L3,Pers,M,16,0.279860247,0.288431541,0.932988303
EQ4-L4,Pers,M,16,0.636455288,0.655948034,0.748981002
EQ4-S1,Pers,M,16,0.686694606,0.707726034,0.824128267
EQ4-S2,Pers,M,16,0.339239963,0.349629881,0.954689668
EQ4-S3,Pers,M,16,0.92698322,0.95537398,1.150010485
EQ4-T3,Pers,M,16,0.732400308,0.754831567,1.212615523
EQ4-G1,Rapa,M,16,0.360032474,0.35587013,0.931157839
EQ4-G2,Rapa,M,16,0.321075661,0.317363698,0.776989803
EQ4-G3,Rapa,M,16,0.378676337,0.374298451,0.703138389
EQ4-U2,Rapa,M,16,0.532582752,0.52642555,0.902466809
EQ4-U3,Rapa,M,16,0.536516493,0.530313813,1.181782512
EQ4-U4,Rapa,M,16,0.642036733,0.634614131,0.871952562
EQ6-M2,Young,M,Y,0.231848686,0.260077085,0.54859723
EQ6-M3,Young,M,Y,0.064084635,0.071887166,0.490228738
EQ6-M4,Young,M,Y,0.12208328,0.136947352,0.444238732
EQ6-M5,Young,M,Y,0.219802508,0.246564243,0.583574534
EQ6-M6,Young,M,Y,0.149059954,0.167208532,0.503032274
EQ6-M7,Young,M,Y,0.110360287,0.123797043,0.456027367
EQ6-M8,Young,M,Y,0.183534318,0.205880272,0.447545898
EQ6-M9,Young,M,Y,0.321362095,0.36048907,0.549378573
