Condition,MouseID,percFibr
Y,17-1,0.009160399
Y,17-1,0.037243948
Y,17-1,0.279032275
Y,17-1,0.134147705
Y,17-1,0.079160284
Y,17-1,0.153430917
Y,17-1,0.119577985
Y,17-1,0.020601778
Y,17-1,0.024132002
Y,17-1,0.140073591
Y,17-1,0.135806137
Y,17-1,0.154051886
Y,17-1,0.356919978
Y,17-1,0.032806717
Y,17-1,0.25187881
Y,17-1,0.243316434
Y,17-1,0.107105327
Y,17-1,0.075753356
Y,17-1,0.006023008
Y,17-1,0.057787108
Y,17-1,0.028554507
Y,17-1,0.100380564
Y,17-2,0.18293867
Y,17-2,0.318711319
Y,17-2,0.058918518
Y,17-2,0.135846713
Y,17-2,0.045570992
Y,17-2,0.356785719
Y,17-2,0.028731657
Y,17-2,0.06757655
Y,17-2,0.04284714
Y,17-2,0.180418822
Y,17-2,0.04731911
Y,17-2,0.078165711
Y,17-2,0.224657423
Y,17-2,0.075675431
Y,17-2,0.099122831
Y,17-2,0.036441304
Y,17-2,0.043048224
C,7-2-LB,0.398329586
C,7-2-LB,0.189558663
C,7-2-LB,0.235782734
C,7-2-LB,0.143269633
C,7-2-LB,0.402024057
C,7-2-LB,0.254912106
C,7-2-LB,0.544946327
C,7-2-LB,0.084679592
C,7-2-LB,0.248856775
C,7-2-LB,0.144864064
C,7-2-LB,0.192704749
C,7-2-LB,0.294537315
C,7-2-LB,0.178652834
C,7-2-LB,0.093527663
C,7-2-LB,0.113784868
C,7-2-LB,0.113199313
C,7-2-LB,0.024073709
C,7-2-LB,0.101817677
C,7-2-LB,0.286210112
C,7-2-LB,0.251718914
C,7-2-LB,0.225746701
C,7-2-LF,0.456323338
C,7-2-LF,0.283376352
C,7-2-LF,0.334923886
C,7-2-LF,1.499909096
C,7-2-LF,0.261260773
C,7-2-LF,0.207706714
C,7-2-LF,0.222179521
C,7-2-LF,0.31882649
C,7-2-LF,0.36899835
C,7-2-LF,0.405671726
C,7-2-LF,0.904763902
C,7-2-LF,0.891435092
C,7-2-NP,0.738356683
C,7-2-NP,0.366202341
C,7-2-NP,0.428173839
C,7-2-NP,0.259175041
C,7-2-NP,1.043072058
C,7-2-NP,2.384973988
C,7-2-NP,0.594775438
C,7-2-NP,0.369093069
C,7-2-NP,0.430814894
C,7-2-NP,0.819956115
C,7-2-NP,6.643591466
C,7-2-NP,0.834202294
C,7-5-LB,0.369027236
C,7-5-LB,1.030147687
C,7-5-LB,2.816182611
C,7-5-LB,1.387132015
C,7-5-LB,1.889302821
C,7-5-LB,1.542310252
C,7-5-LB,0.731868082
C,7-5-LB,1.698501183
C,7-5-LB,0.628338382
C,7-5-LB,1.86539133
C,7-5-LB,0.691284655
C,7-5-LB,4.654732899
C,7-5-LB,2.352406313
C,7-5-LF,0.377222712
C,7-5-LF,1.668700834
C,7-5-LF,2.357358478
C,7-5-LF,1.051404829
C,7-5-LF,0.501514313
C,7-5-LF,1.059180129
C,7-5-LF,0.4195764
C,7-5-LF,0.51555909
C,7-5-LF,0.569275748
C,7-5-LF,0.797356416
C,7-5-LF,2.107404577
C,7-5-LF,0.724326491
C,7-5-LF,0.668262836
C,7-5-RF,0.527005114
C,7-5-RF,0.239383298
C,7-5-RF,0.09871127
C,7-5-RF,0.315360925
C,7-5-RF,1.630615641
C,7-5-RF,0.390962792
C,7-5-RF,0.686401156
C,7-5-RF,0.476682454
C,7-5-RF,4.191530381
C,7-5-RF,0.465684656
C,7-5-RF,0.487810827
C,7-5-RF,0.14487544
C,7-5-RF,0.214625975
P,7-3-LB,0.167456255
P,7-3-LB,0.487771444
P,7-3-LB,0.255009984
P,7-3-LB,1.580597114
P,7-3-LB,0.307651001
P,7-3-LB,0.253979827
P,7-3-LB,1.222100642
P,7-3-LB,0.433656642
P,7-3-LB,1.273162738
P,7-3-LB,0.669610419
P,7-3-LB,0.571457279
P,7-3-LB,0.155382093
P,7-3-LB,0.308486376
P,7-3-LB,0.441400304
P,7-3-LB,0.024901949
P,7-3-LB,0.174756629
P,7-3-LB,0.180640949
P,7-3-LB,0.314841299
P,7-3-NP,0.751569116
P,7-3-NP,2.565961467
P,7-3-NP,0.786523
P,7-3-NP,1.197382121
P,7-3-NP,1.758578161
P,7-3-NP,0.095028039
P,7-3-NP,1.358845349
P,7-3-NP,0.459193517
P,7-4-LF,0.672129824
P,7-4-LF,1.198482933
P,7-4-LF,3.140617602
P,7-4-LF,0.39663475
P,7-4-LF,1.413731776
P,7-4-LF,1.508538327
P,7-4-LF,2.395341044
P,7-4-LF,0.695439455
P,7-4-LF,1.473545696
P,7-4-LF,5.617710069
P,7-4-LF,1.193522843
P,7-4-NP,1.031494453
P,7-4-NP,3.03986769
P,7-4-NP,1.328998403
P,7-4-NP,0.380858842
P,7-4-NP,8.991137493
P,7-4-NP,0.823340339
P,7-4-NP,0.824640358
P,7-4-NP,0.500718135
P,7-4-NP,0.436781258
P,7-4-NP,2.963789032
P,7-4-NP,1.442059898
P,7-4-NP,0.795964779
P,7-4-NP,0.510233266
P,7-4-RF,0.441919192
P,7-4-RF,0.348553503
P,7-4-RF,0.25477707
P,7-4-RF,0.596504804
P,7-4-RF,0.262932139
P,7-4-RF,0.300244359
P,7-4-RF,0.457318713
P,7-4-RF,0.217144145
P,7-4-RF,0.135487551
P,7-4-RF,1.558232709
P,7-4-RF,0.084834981
P,7-4-RF,0.28428244
P,7-4-RF,2.625988178
P,8-13-NP,0.074626866
P,8-13-NP,0.237603708
P,8-13-NP,0.348372162
P,8-13-NP,0.224115234
P,8-13-NP,0.207389954
P,8-13-NP,0.030959752
P,8-13-NP,0.217356217
P,8-13-NP,0.04687707
P,8-13-NP,0.389023967
P,8-13-NP,0.253580135
P,8-13-NP,0.092318839
P,8-13-NP,0.102577559
P,8-13-NP,0.325601192
P,8-13-NP,0.323050907
P,8-13-NP,0.034052213
R,8-11-LB,0.222898312
R,8-11-LB,1.106228604
R,8-11-LB,0.280101537
R,8-11-LB,0.167356014
R,8-11-LB,0.177736087
R,8-11-LB,0.190451859
R,8-11-LB,0.250114183
R,8-11-LB,0.323163842
R,8-11-LB,0.208603977
R,8-11-LB,0.266508736
R,8-11-LB,0.580002662
R,8-11-LB,0.286616311
R,8-11-LB,0.143716335
R,8-11-LB,0.465730571
R,8-11-LB,0.170150348
R,8-11-LB,0.428342417
R,8-11-LB,0.16261718
R,8-11-LB,2.174046363
R,8-14-LB,0.105459196
R,8-14-LB,0.303411076
R,8-14-LB,0.261862471
R,8-14-LB,0.131608298
R,8-14-LB,0.32434748
R,8-14-LB,1.183453411
R,8-14-LB,0.246224557
R,8-14-LB,0.626497418
R,8-14-LB,0.379630198
R,8-14-LB,0.229206244
R,8-14-LB,0.424289699
R,8-14-LB,0.24086429
R,8-14-LB,1.551863513
R,8-14-NP,1.190970477
R,8-14-NP,0.650007222
R,8-14-NP,0.04301435
R,8-14-NP,0.160394335
R,8-14-NP,0.417149479
R,8-14-NP,0.108421117
R,8-14-NP,0.518620562
R,8-14-NP,0.246928236
R,8-14-NP,0.122179883
R,8-14-NP,0.220347455
R,8-14-NP,0.373818521
R,8-14-NP,1.071708545
R,8-14-NP,0.206536112
R,8-14-NP,0.517358913
R,8-14-NP,0.25535071
R,8-14-NP,0.121502383
R,8-14-NP,0.566384444
R,8-14-NP,0.547850499
R,8-14-NP,0.628117292
R,8-15-NP,0.654279544
R,8-15-NP,3.870454646
R,8-15-NP,0.796988316
R,8-15-NP,0.889398015
R,8-15-NP,0.825894625
R,8-15-NP,0.295564422
R,8-15-NP,0.17288157
R,8-15-NP,0.307649763
R,8-15-NP,0.712708773
R,8-15-NP,1.371858686
R,8-15-NP,0.219031123
